CompanyYear,Operating Revenues (Sales),Total Assets,Total Current Assets,Total Current Liabilities,Equity Capital,Retained Earnings (End of Period),Operating Profit (Loss),Total Liabilities,Total Shareholders' Equity,Net Profit,Iran's GDP,z_score
جابر_1302,1604415.0,2398642.0,1950064.0,1064087.0,378000.0,889373.0,854026.0,1093372.0,1305270.0,648906.0,10001801000,3.288031275528195
جابر_1303,1966241.0,3156468.0,2699922.0,1520244.0,378000.0,1187096.0,1004244.0,1553475.0,1602993.0,751323.0,11551853000,2.975714618947272
جابر_1304,2214518.0,3868057.0,3421031.0,2093615.0,378000.0,1324973.0,1084071.0,2127187.0,1740870.0,780477.0,11443030000,2.593115982002319
جابر_1305,2359835.0,4499690.0,4061378.0,2451748.0,378000.0,1589486.0,1239142.0,2494307.0,2005383.0,926013.0,13191562000,2.519322470750664
جابر_1306,2304046.0,5151553.0,4460239.0,2536480.0,378000.0,1766692.0,1154827.0,2591360.0,2560193.0,857606.0,15345033000,2.360797248775441
جابر_1307,2082058.0,5638995.0,4745314.0,2657446.0,756000.0,1754306.0,586196.0,2729396.0,2909599.0,762857.0,17556000000,1.965627811047892
کوثر_1301,346480.0,604582.0,434854.0,304648.0,180000.0,92486.0,42786.0,314096.0,290486.0,20717.0,7342514000,1.95017463675376
کوثر_1302,502582.0,802590.0,590402.0,407140.0,180000.0,185595.0,142137.0,418995.0,383595.0,114709.0,10001801000,2.368796921511529
کوثر_1303,765855.0,1293689.0,888700.0,666035.0,180000.0,227680.0,105949.0,680516.0,613173.0,65956.0,11551853000,1.82798604499388
کوثر_1304,705413.0,1789713.0,1319098.0,804796.0,540000.0,394229.0,131952.0,819070.0,970643.0,368270.0,11443030000,2.031549349912293
کوثر_1305,1012583.0,2022372.0,1592533.0,1051679.0,540000.0,375612.0,139572.0,1068091.0,954281.0,45112.0,13191562000,1.853305505042849
کوثر_1306,1439708.0,2430382.0,1970316.0,1431572.0,540000.0,405236.0,119669.0,1444634.0,985748.0,36867.0,15345033000,1.668070962970897
کوثر_1307,2092988.0,2553583.0,2053555.0,1412140.0,540000.0,541289.0,290441.0,1424337.0,1129246.0,148899.0,17556000000,2.225289774130272
لقمان_1301,479529.0,1117519.0,477101.0,379341.0,75000.0,84249.0,66695.0,887889.0,229630.0,46333.0,7342514000,1.17533390868089
لقمان_1302,595862.0,1453734.0,714462.0,510361.0,225000.0,146917.0,96423.0,1055740.0,397994.0,92019.0,10001801000,1.423877774090496
لقمان_1303,692659.0,1602345.0,838743.0,736198.0,225000.0,142892.0,101583.0,1204332.0,398013.0,79529.0,11551853000,1.259217046073521
لقمان_1304,774652.0,1847878.0,1031631.0,981285.0,225000.0,167282.0,84376.0,1422060.0,425818.0,68305.0,11443030000,1.103107233875157
لقمان_1305,970458.0,1872024.0,1105520.0,929927.0,225000.0,171304.0,124102.0,1441640.0,430384.0,56095.0,13191562000,1.287195289076566
لقمان_1306,990466.0,2056613.0,1276608.0,1083044.0,450000.0,247292.0,233748.0,1318873.0,737740.0,127356.0,15345033000,1.696278479007049
لقمان_1307,1142391.0,2042918.0,1255215.0,1007458.0,450000.0,287121.0,251227.0,1043071.0,999847.0,112978.0,17556000000,2.021569232191734
osveh_1301,822444.0,1096988.0,723456.0,555129.0,108000.0,373399.0,345381.0,604789.0,492199.0,247892.0,7342514000,2.915382192502904
osveh_1302,1293782.0,1702703.0,1250953.0,897423.0,108000.0,518497.0,614645.0,923406.0,779297.0,438298.0,10001801000,2.974537579138791
osveh_1303,1753401.0,2391680.0,1844283.0,1272439.0,250000.0,808870.0,862235.0,1307810.0,1083870.0,604573.0,11551853000,3.032822785454234
