Split,AUC,AUPRC,Brier,KS,F1,Precision,Recall,Specificity,Sensitivity,Threshold
Train,1.0,1.0,0.0,0.9999999999873417,1.0,1.0,1.0,0.9999999999873417,0.9999999999970675,0.3900827169418335
Valid,0.6033950617283951,0.9195873769312082,0.09265804568345051,0.6666666666851853,0.9473684210526315,0.9,1.0,0.0,0.9999999999907407,0.3900827169418335
Test,0.5324113175675677,0.832733586640313,0.17945374528928007,0.6646959459483435,0.8923076923076924,0.8192090395480226,0.9797297297297297,0.0,0.97972972972311,0.3900827169418335
